soil_type,state,district,season,temperature,rainfall,humidity,water_availability,farm_size,previous_crop,target_crop,suitable
Loamy,Tamil Nadu,Kolar,Kharif,27.7,1019.1,87.2,Low,10.0,mustard,rice,0
Red,Rajasthan,Nilokheri,Rabi,24.3,256.9,52.9,High,12.2,rice,sugarcane,0
Red,Uttar Pradesh,Coimbatore,Zaid,37.9,59.3,41.7,High,7.1,maize,soybean,0
Loamy,Maharashtra,Rajkot,Zaid,38.9,83.1,42.2,Low,6.3,potato,soybean,0
Sandy,Gujarat,Manchar,Kharif,32.1,849.1,80.8,Medium,4.1,rose,mustard,0
Loamy,Haryana,Lucknow,Zaid,32.0,111.8,36.7,High,13.3,wheat,maize,1
Alluvial,Rajasthan,Manchar,Rabi,20.1,237.3,65.5,Medium,11.1,tomato,mustard,0
Sandy,Madhya Pradesh,Nilokheri,Kharif,30.9,1075.4,89.0,Medium,13.4,wheat,potato,0
Black,Haryana,Karnal,Rabi,20.6,48.9,67.4,High,11.7,potato,tomato,1
Red,Madhya Pradesh,Manchar,Kharif,29.6,729.3,77.8,Medium,8.0,maize,mustard,0
Black,Andhra Pradesh,Rampur,Zaid,36.1,21.1,32.0,Low,9.9,sugarcane,tomato,0
Sandy,Karnataka,Kolar,Rabi,20.6,365.1,61.9,High,7.7,wheat,banana,0
Sandy,Maharashtra,Jaipur,Zaid,35.9,17.6,35.8,High,15.4,none,soybean,0
Clayey,Andhra Pradesh,Pune,Rabi,21.4,265.6,46.1,Medium,7.6,cotton,banana,0
Loamy,Punjab,Kolar,Kharif,29.2,1195.3,78.0,Low,11.3,cotton,mustard,0
Alluvial,Punjab,Nilokheri,Kharif,31.2,1060.7,79.4,High,11.7,rose,tomato,1
Sandy,Tamil Nadu,Karnal,Rabi,19.4,246.4,60.7,High,9.4,banana,sugarcane,0
Sandy,Uttar Pradesh,Manchar,Zaid,35.1,37.0,53.2,Low,6.4,rice,cotton,0
Black,Punjab,Ludhiana,Zaid,37.2,17.1,33.7,Low,8.3,soybean,soybean,0
Black,Madhya Pradesh,Lucknow,Zaid,32.6,110.3,32.0,Medium,7.2,banana,banana,0
Loamy,Madhya Pradesh,Coimbatore,Rabi,21.9,240.6,48.0,High,9.6,wheat,rose,1
Alluvial,Punjab,Lucknow,Zaid,33.7,100.4,55.3,Medium,1.6,soybean,rice,0
Clayey,Gujarat,Nilokheri,Rabi,17.9,191.0,63.9,Medium,2.1,potato,mustard,1
Black,Maharashtra,Karnal,Zaid,36.6,64.5,67.1,Low,14.3,cotton,cotton,0
Black,Haryana,Rampur,Zaid,34.5,110.9,47.2,Medium,8.0,maize,rice,0
Alluvial,Gujarat,Ludhiana,Kharif,29.1,1572.9,83.6,High,9.2,mustard,maize,1
Loamy,Tamil Nadu,Manchar,Kharif,28.5,1729.9,79.1,Medium,8.5,soybean,wheat,0
Loamy,Andhra Pradesh,Manchar,Kharif,28.2,643.5,74.3,Medium,9.5,sugarcane,mustard,0
Black,Maharashtra,Rajkot,Zaid,37.3,79.4,41.0,Low,3.3,rice,banana,0
Loamy,Maharashtra,Kolar,Kharif,30.4,966.2,82.4,Low,14.8,cotton,rose,1
Clayey,Haryana,Pune,Rabi,15.5,334.8,62.8,Low,7.7,wheat,sugarcane,0
Red,Andhra Pradesh,Manchar,Rabi,17.4,385.7,45.7,High,7.3,cotton,potato,1
Red,Tamil Nadu,Lucknow,Rabi,19.6,187.2,66.7,Medium,7.2,rose,soybean,0
Black,Tamil Nadu,Rampur,Rabi,22.0,462.8,48.8,Low,5.0,rice,rice,0
Black,Gujarat,Ludhiana,Rabi,14.5,470.8,61.3,Medium,0.5,tomato,banana,0
Alluvial,Karnataka,Rampur,Rabi,17.6,253.4,64.8,Medium,9.5,rice,potato,1
Sandy,Andhra Pradesh,Nilokheri,Zaid,34.6,74.1,39.0,Low,3.5,tomato,rose,0
Loamy,Maharashtra,Jaipur,Zaid,35.9,61.2,41.1,Medium,9.3,banana,tomato,1
Sandy,Andhra Pradesh,Karnal,Zaid,32.4,172.7,42.7,High,3.7,tomato,maize,0
Black,Rajasthan,Pune,Kharif,33.9,949.3,80.3,Medium,2.7,cotton,mustard,0
Alluvial,Gujarat,Pune,Kharif,30.4,1002.7,87.3,Medium,7.7,soybean,maize,1
Alluvial,Maharashtra,Manchar,Rabi,21.0,92.8,63.4,Medium,8.4,rose,banana,0
Clayey,Rajasthan,Rajkot,Zaid,39.0,0.0,44.6,Medium,9.6,banana,wheat,0
Sandy,Rajasthan,Manchar,Rabi,17.4,82.1,41.7,Medium,11.9,rice,banana,0
Black,Uttar Pradesh,Jaipur,Rabi,15.8,246.4,50.9,Low,5.4,rice,rice,0
Loamy,Gujarat,Coimbatore,Rabi,18.3,130.0,58.0,High,6.0,wheat,soybean,0
Sandy,Tamil Nadu,Nilokheri,Rabi,19.3,241.8,60.4,Medium,15.7,rice,rice,0
Red,Uttar Pradesh,Pune,Kharif,32.2,1058.5,84.3,High,8.9,tomato,tomato,0
Sandy,Tamil Nadu,Rajkot,Kharif,28.7,1072.4,83.9,Low,8.9,soybean,cotton,0
Black,Uttar Pradesh,Nilokheri,Zaid,36.3,197.5,44.8,High,5.3,soybean,sugarcane,0
Black,Haryana,Ludhiana,Rabi,16.0,190.5,66.9,Low,6.8,none,soybean,0
Alluvial,Maharashtra,Nilokheri,Rabi,14.7,300.4,64.9,High,6.7,none,mustard,1
Sandy,Madhya Pradesh,Kolar,Kharif,32.1,923.3,70.7,High,7.3,tomato,sugarcane,1
Alluvial,Andhra Pradesh,Jaipur,Kharif,26.5,1023.0,71.3,Low,10.8,maize,cotton,1
Sandy,Haryana,Coimbatore,Zaid,38.6,109.3,39.5,Low,10.5,cotton,sugarcane,0
Clayey,Gujarat,Nilokheri,Rabi,21.7,70.1,56.5,Medium,8.3,rice,cotton,0
Loamy,Karnataka,Kolar,Rabi,15.0,219.9,52.8,High,6.6,rose,tomato,0
Sandy,Haryana,Ludhiana,Zaid,36.3,65.3,52.0,High,9.6,banana,maize,0
Sandy,Maharashtra,Pune,Rabi,18.0,231.1,69.4,High,7.7,wheat,tomato,1
Clayey,Punjab,Jaipur,Kharif,28.9,904.1,79.2,High,4.5,wheat,potato,0
Loamy,Madhya Pradesh,Rajkot,Kharif,32.3,1020.2,74.6,Low,12.1,wheat,rose,1
Black,Uttar Pradesh,Rajkot,Rabi,16.9,190.9,68.3,Medium,3.8,wheat,banana,0
Clayey,Andhra Pradesh,Pune,Zaid,32.8,34.5,58.1,High,11.0,banana,rice,0
Loamy,Tamil Nadu,Rajkot,Kharif,27.0,1651.7,86.6,Medium,1.3,mustard,banana,1
Red,Rajasthan,Nilokheri,Rabi,14.7,301.3,67.7,High,11.1,wheat,wheat,0
Sandy,Karnataka,Lucknow,Rabi,16.3,261.8,79.9,High,3.1,tomato,mustard,0
Clayey,Uttar Pradesh,Manchar,Rabi,17.2,409.1,48.0,High,5.4,tomato,rose,1
Sandy,Karnataka,Rampur,Kharif,31.5,946.2,77.6,High,0.5,potato,rose,1
Clayey,Uttar Pradesh,Pune,Zaid,37.2,43.4,58.0,Medium,1.8,none,cotton,0
Red,Maharashtra,Lucknow,Kharif,32.4,1404.9,71.8,High,4.4,potato,tomato,1
Alluvial,Andhra Pradesh,Coimbatore,Zaid,33.8,38.5,47.5,Low,5.2,none,mustard,0
Loamy,Gujarat,Karnal,Rabi,19.1,414.2,35.7,High,8.2,none,potato,1
Loamy,Gujarat,Pune,Kharif,26.1,1347.9,74.9,Low,10.4,soybean,tomato,1
Red,Gujarat,Jaipur,Zaid,38.8,91.9,38.2,Medium,9.7,rose,maize,1
Sandy,Punjab,Lucknow,Rabi,20.1,178.3,71.3,Medium,7.5,cotton,potato,0
Loamy,Gujarat,Manchar,Rabi,16.2,319.8,59.5,High,1.4,rice,rice,0
Sandy,Maharashtra,Kolar,Rabi,21.3,219.3,48.6,Low,13.0,rose,mustard,1
Clayey,Rajasthan,Rampur,Zaid,36.7,32.8,48.4,Low,3.8,cotton,mustard,0
Alluvial,Rajasthan,Lucknow,Zaid,37.9,60.2,39.1,Low,11.9,tomato,wheat,1
Sandy,Madhya Pradesh,Rampur,Kharif,26.9,1110.7,81.3,Low,8.0,banana,sugarcane,0
Red,Tamil Nadu,Karnal,Rabi,16.4,142.2,54.2,High,9.9,cotton,banana,1
Black,Karnataka,Kolar,Zaid,34.7,71.0,54.7,Medium,3.8,rose,potato,0
Black,Punjab,Kolar,Zaid,35.5,120.4,40.9,Medium,6.5,banana,mustard,0
Clayey,Rajasthan,Manchar,Zaid,35.4,100.3,59.1,High,14.7,rice,rose,1
Clayey,Andhra Pradesh,Rampur,Kharif,33.8,1347.5,75.6,High,14.1,none,maize,1
Clayey,Tamil Nadu,Pune,Rabi,22.6,346.8,69.9,Medium,6.8,potato,rose,1
Clayey,Punjab,Rampur,Zaid,34.3,13.4,41.5,Medium,13.4,soybean,banana,0
Alluvial,Haryana,Kolar,Zaid,35.4,30.7,57.9,High,12.3,cotton,rice,0
Black,Tamil Nadu,Rampur,Zaid,35.0,145.1,32.2,Medium,12.4,tomato,tomato,0
Black,Uttar Pradesh,Jaipur,Rabi,18.6,294.0,60.3,Low,8.8,none,rice,0
Red,Andhra Pradesh,Rampur,Zaid,34.4,158.4,40.9,Low,18.7,none,wheat,1
Clayey,Uttar Pradesh,Coimbatore,Kharif,34.7,1015.6,82.4,Low,4.8,rice,wheat,0
Red,Andhra Pradesh,Nilokheri,Rabi,15.8,465.1,54.5,Low,15.2,banana,cotton,0
Loamy,Karnataka,Coimbatore,Kharif,32.2,1323.3,75.2,High,7.0,wheat,soybean,1
Loamy,Madhya Pradesh,Rampur,Zaid,31.7,46.3,47.9,Medium,4.8,cotton,soybean,0
Loamy,Madhya Pradesh,Manchar,Zaid,35.5,78.6,40.0,Medium,7.7,soybean,rose,1
Sandy,Gujarat,Manchar,Rabi,12.4,151.7,75.2,Medium,4.2,none,wheat,1
Red,Punjab,Nilokheri,Kharif,29.0,1464.7,79.5,Medium,9.1,wheat,sugarcane,1
Red,Andhra Pradesh,Manchar,Zaid,37.1,89.3,47.7,Low,9.2,maize,maize,0
Loamy,Uttar Pradesh,Lucknow,Rabi,12.2,366.2,57.5,High,23.8,tomato,sugarcane,0
Black,Tamil Nadu,Pune,Rabi,14.4,192.9,64.2,Low,16.2,potato,maize,0
Sandy,Rajasthan,Kolar,Zaid,33.3,23.7,51.2,High,6.7,none,mustard,0
Loamy,Uttar Pradesh,Rajkot,Rabi,17.9,142.3,70.7,Low,10.7,rose,soybean,0
Red,Madhya Pradesh,Kolar,Zaid,36.0,118.3,47.7,Low,2.9,none,banana,0
Clayey,Andhra Pradesh,Manchar,Rabi,20.4,359.6,54.3,Medium,9.3,soybean,potato,1
Black,Rajasthan,Kolar,Rabi,17.4,332.3,54.1,Low,13.0,soybean,rice,0
Red,Uttar Pradesh,Rajkot,Rabi,16.4,319.4,48.7,Low,2.2,tomato,sugarcane,0
Loamy,Gujarat,Ludhiana,Rabi,14.1,208.5,49.4,Low,2.7,rose,rice,0
Clayey,Rajasthan,Coimbatore,Kharif,24.2,1260.6,74.3,Low,2.9,rose,wheat,0
Alluvial,Punjab,Jaipur,Zaid,35.3,78.0,64.5,Low,9.4,wheat,mustard,0
Black,Gujarat,Rajkot,Zaid,34.1,58.3,66.6,Low,7.1,soybean,potato,0
Black,Gujarat,Coimbatore,Zaid,38.6,81.9,43.2,Low,6.9,banana,potato,0
Red,Karnataka,Nilokheri,Kharif,29.2,1238.2,81.9,Low,5.4,cotton,wheat,0
Black,Tamil Nadu,Kolar,Kharif,27.7,749.7,77.0,High,1.6,sugarcane,wheat,0
Loamy,Karnataka,Karnal,Rabi,18.9,337.1,69.4,Low,0.5,sugarcane,cotton,0
Loamy,Punjab,Rajkot,Kharif,29.3,1135.9,74.5,High,6.3,wheat,maize,1
Alluvial,Uttar Pradesh,Coimbatore,Zaid,37.2,4.2,44.8,Medium,4.1,tomato,banana,0
Sandy,Karnataka,Kolar,Rabi,18.0,109.4,60.9,Low,1.9,sugarcane,tomato,0
Black,Punjab,Ludhiana,Rabi,18.2,83.1,46.0,High,6.2,sugarcane,maize,1
Clayey,Uttar Pradesh,Lucknow,Rabi,16.5,179.6,51.2,Low,8.1,maize,sugarcane,0
Alluvial,Maharashtra,Karnal,Zaid,34.6,64.8,45.7,Low,8.7,wheat,rose,0
Loamy,Maharashtra,Jaipur,Zaid,37.8,131.5,53.4,Low,11.4,tomato,mustard,0
Clayey,Tamil Nadu,Karnal,Kharif,30.7,1003.1,77.8,High,4.5,cotton,soybean,1
Loamy,Punjab,Kolar,Rabi,18.0,177.4,67.0,Medium,7.9,maize,mustard,1
Sandy,Gujarat,Nilokheri,Kharif,28.0,962.7,81.0,Medium,5.0,potato,potato,0
Sandy,Andhra Pradesh,Kolar,Kharif,28.0,1075.8,82.5,High,6.3,mustard,wheat,0
Clayey,Punjab,Jaipur,Rabi,18.8,362.7,55.9,Medium,4.1,soybean,banana,0
Sandy,Gujarat,Rajkot,Zaid,35.6,66.1,31.0,High,1.3,sugarcane,mustard,0
Black,Andhra Pradesh,Manchar,Kharif,32.2,1296.0,83.8,Medium,8.1,rose,mustard,0
Red,Maharashtra,Rajkot,Rabi,15.4,403.0,52.0,Low,13.7,mustard,rose,1
Black,Tamil Nadu,Manchar,Kharif,30.4,1442.2,77.4,High,5.2,rose,cotton,1
Red,Rajasthan,Kolar,Rabi,18.7,166.4,73.5,Low,11.3,tomato,mustard,1
Red,Punjab,Coimbatore,Zaid,37.0,40.3,44.6,Medium,5.1,tomato,rice,0
Loamy,Haryana,Pune,Kharif,30.9,1132.7,72.9,High,10.2,wheat,banana,1
Sandy,Uttar Pradesh,Manchar,Kharif,33.0,1429.1,73.0,Medium,14.8,mustard,banana,0
Black,Haryana,Coimbatore,Kharif,31.2,1018.0,74.8,Low,7.8,rice,soybean,1
Loamy,Gujarat,Nilokheri,Kharif,30.8,1170.3,80.1,Low,7.6,none,rose,1
Alluvial,Andhra Pradesh,Pune,Zaid,36.5,66.5,40.4,Medium,5.7,rose,banana,0
Alluvial,Karnataka,Rajkot,Kharif,35.8,1238.8,87.3,Medium,13.3,rice,cotton,1
Clayey,Punjab,Ludhiana,Zaid,37.6,19.8,46.8,High,7.0,cotton,soybean,0
Clayey,Rajasthan,Lucknow,Kharif,29.0,728.5,74.3,Medium,10.0,tomato,potato,0
Red,Karnataka,Jaipur,Zaid,36.6,50.2,33.3,Low,12.6,soybean,sugarcane,0
Red,Maharashtra,Ludhiana,Rabi,15.4,231.0,61.7,High,10.0,cotton,cotton,0
Red,Punjab,Karnal,Kharif,27.4,1142.2,80.5,Medium,8.9,banana,soybean,1
Sandy,Uttar Pradesh,Coimbatore,Zaid,36.2,167.7,48.4,Medium,18.2,potato,soybean,0
Black,Uttar Pradesh,Jaipur,Rabi,16.1,309.5,36.8,High,8.7,banana,mustard,1
Alluvial,Tamil Nadu,Lucknow,Rabi,21.2,255.9,62.8,High,12.5,none,rose,1
Sandy,Maharashtra,Kolar,Rabi,21.8,168.3,46.1,High,7.6,sugarcane,soybean,0
Sandy,Rajasthan,Jaipur,Zaid,36.2,97.4,42.7,Low,12.0,maize,tomato,0
Loamy,Andhra Pradesh,Lucknow,Rabi,23.2,164.8,65.8,Medium,7.4,sugarcane,sugarcane,0
Alluvial,Tamil Nadu,Karnal,Kharif,29.8,1197.0,82.6,Low,16.2,soybean,soybean,0
Black,Madhya Pradesh,Lucknow,Kharif,28.6,1688.7,81.9,Medium,5.7,soybean,tomato,1
Black,Madhya Pradesh,Pune,Rabi,18.4,258.2,50.6,Low,4.9,none,rice,0
Clayey,Uttar Pradesh,Karnal,Rabi,21.1,156.5,61.5,High,11.4,tomato,potato,1
Clayey,Haryana,Nilokheri,Zaid,36.4,34.1,54.5,Medium,9.5,tomato,potato,0
Loamy,Tamil Nadu,Rampur,Zaid,37.5,29.6,40.8,High,7.8,wheat,rice,0
Loamy,Tamil Nadu,Coimbatore,Rabi,21.7,207.2,71.3,Medium,2.9,banana,potato,1
Black,Rajasthan,Manchar,Zaid,35.1,97.9,40.3,High,7.6,rice,cotton,0
Sandy,Maharashtra,Rampur,Zaid,34.5,85.6,56.0,Medium,9.7,wheat,potato,0
Sandy,Haryana,Coimbatore,Kharif,24.8,740.6,67.9,High,6.1,banana,banana,0
Red,Madhya Pradesh,Nilokheri,Rabi,19.7,409.3,36.6,Low,8.7,tomato,soybean,0
Loamy,Haryana,Jaipur,Kharif,34.1,1226.0,75.6,Low,8.3,soybean,rose,1
Alluvial,Karnataka,Pune,Kharif,32.5,1218.3,78.8,Medium,12.4,sugarcane,rose,1
Alluvial,Rajasthan,Lucknow,Kharif,28.0,628.0,81.2,Medium,10.8,wheat,wheat,0
Red,Andhra Pradesh,Kolar,Zaid,39.9,76.3,32.6,Medium,11.5,banana,mustard,0
Black,Uttar Pradesh,Coimbatore,Kharif,30.1,1002.3,80.8,Low,6.3,tomato,potato,0
Alluvial,Punjab,Manchar,Kharif,29.7,804.6,80.2,High,7.7,rose,sugarcane,1
Alluvial,Rajasthan,Rampur,Zaid,39.1,30.5,40.8,Medium,7.4,tomato,cotton,1
Alluvial,Maharashtra,Kolar,Zaid,34.6,85.6,31.6,Medium,5.2,banana,sugarcane,0
Loamy,Gujarat,Nilokheri,Zaid,34.8,18.7,46.5,High,1.0,tomato,rice,1
Loamy,Maharashtra,Manchar,Rabi,20.0,152.3,40.7,Medium,0.8,banana,banana,0
Loamy,Rajasthan,Nilokheri,Zaid,35.0,84.5,49.3,Low,17.6,rose,potato,0
Red,Tamil Nadu,Kolar,Zaid,38.2,32.1,35.7,Low,18.8,sugarcane,maize,0
Black,Karnataka,Pune,Rabi,21.2,257.5,65.9,Low,9.1,rose,rose,0
Loamy,Uttar Pradesh,Nilokheri,Zaid,33.0,82.8,46.6,High,4.4,tomato,maize,1
Sandy,Haryana,Kolar,Zaid,34.9,75.0,60.2,High,16.3,sugarcane,maize,0
Loamy,Karnataka,Karnal,Kharif,24.8,713.2,77.4,High,3.2,sugarcane,banana,1
Clayey,Tamil Nadu,Coimbatore,Zaid,34.3,90.7,48.2,Low,5.3,rose,banana,0
Red,Haryana,Nilokheri,Rabi,11.3,221.4,74.8,High,3.5,soybean,potato,1
Alluvial,Rajasthan,Lucknow,Zaid,36.5,67.1,47.0,Low,8.6,tomato,potato,0
Red,Tamil Nadu,Rampur,Zaid,33.7,40.1,52.6,High,5.6,maize,maize,0
Alluvial,Madhya Pradesh,Ludhiana,Kharif,31.9,1496.4,86.0,Medium,12.2,soybean,mustard,0
Loamy,Punjab,Nilokheri,Rabi,17.0,390.5,44.6,Medium,13.5,maize,maize,0
Red,Andhra Pradesh,Manchar,Zaid,34.7,66.7,54.2,Medium,14.0,wheat,cotton,0
Black,Karnataka,Pune,Rabi,16.5,328.6,79.8,Low,15.2,banana,rice,0
Alluvial,Haryana,Ludhiana,Zaid,35.1,41.2,49.1,Low,11.4,potato,rice,0
Sandy,Tamil Nadu,Nilokheri,Rabi,20.7,298.2,84.0,Low,10.9,banana,soybean,0
Loamy,Karnataka,Manchar,Kharif,28.6,1005.0,82.7,High,8.5,rice,wheat,0
Red,Tamil Nadu,Karnal,Zaid,36.3,82.5,41.5,Low,6.5,wheat,tomato,0
Clayey,Gujarat,Nilokheri,Rabi,16.9,267.5,70.8,Low,9.4,soybean,tomato,0
Alluvial,Maharashtra,Pune,Zaid,33.1,101.2,49.2,Medium,6.4,maize,cotton,0
Clayey,Maharashtra,Ludhiana,Rabi,24.3,328.4,37.1,Medium,10.9,maize,soybean,0
Red,Madhya Pradesh,Jaipur,Zaid,37.1,102.0,46.8,High,11.5,none,banana,1
Alluvial,Uttar Pradesh,Jaipur,Zaid,34.5,72.7,48.0,Medium,3.6,banana,soybean,0
Sandy,Tamil Nadu,Ludhiana,Rabi,20.2,100.2,54.4,High,5.8,banana,wheat,1
Alluvial,Rajasthan,Rampur,Rabi,15.6,265.3,70.3,Low,13.5,sugarcane,cotton,0
Clayey,Haryana,Jaipur,Kharif,28.0,1809.9,84.4,Medium,9.4,potato,soybean,1
Sandy,Karnataka,Pune,Zaid,37.7,23.1,51.9,High,10.3,mustard,sugarcane,0
Clayey,Andhra Pradesh,Rampur,Zaid,36.6,44.6,42.4,Low,10.8,banana,sugarcane,0
Red,Madhya Pradesh,Jaipur,Rabi,15.1,261.4,81.3,Medium,3.1,maize,maize,0
Sandy,Rajasthan,Lucknow,Kharif,28.5,1703.1,78.6,High,4.5,maize,tomato,1
Red,Maharashtra,Manchar,Zaid,35.8,100.0,39.6,High,5.9,mustard,tomato,1
Red,Tamil Nadu,Pune,Zaid,33.7,68.0,43.0,Medium,5.6,potato,rose,1
Loamy,Andhra Pradesh,Rajkot,Rabi,16.4,218.0,71.8,Medium,3.5,wheat,soybean,0
Alluvial,Maharashtra,Lucknow,Zaid,35.1,26.5,45.5,Medium,14.5,maize,sugarcane,0
Clayey,Karnataka,Coimbatore,Kharif,32.6,1198.0,87.2,High,0.5,potato,mustard,0
Clayey,Maharashtra,Pune,Zaid,39.1,48.7,36.4,High,8.6,tomato,sugarcane,0
Clayey,Karnataka,Manchar,Rabi,22.1,340.6,70.5,Low,6.8,tomato,potato,1
Alluvial,Tamil Nadu,Ludhiana,Kharif,29.0,1067.5,81.7,Low,11.6,cotton,sugarcane,0
Sandy,Gujarat,Rajkot,Kharif,32.5,468.5,83.0,High,8.5,sugarcane,rose,1
Loamy,Rajasthan,Karnal,Zaid,35.8,49.8,46.7,Medium,2.7,rose,rose,0
Sandy,Rajasthan,Kolar,Rabi,19.4,307.5,56.4,High,5.3,rice,rice,0
Alluvial,Gujarat,Rampur,Zaid,38.8,91.9,55.0,High,7.1,sugarcane,soybean,0
Red,Rajasthan,Rampur,Kharif,32.6,1159.6,82.0,Medium,12.2,mustard,rice,0
Sandy,Karnataka,Manchar,Zaid,38.9,38.0,32.5,Medium,4.9,soybean,mustard,0
Sandy,Tamil Nadu,Kolar,Zaid,33.0,104.0,44.4,Medium,7.9,rice,soybean,0
Black,Madhya Pradesh,Nilokheri,Zaid,34.9,85.6,56.3,High,9.4,potato,cotton,0
Black,Madhya Pradesh,Rampur,Rabi,21.5,456.0,58.8,Medium,6.2,banana,tomato,1
Sandy,Andhra Pradesh,Lucknow,Rabi,24.0,301.7,50.3,Low,5.4,none,banana,0
Sandy,Maharashtra,Rampur,Zaid,38.2,91.6,40.2,High,5.4,none,soybean,0
Clayey,Punjab,Kolar,Kharif,32.8,1520.9,76.7,High,4.0,wheat,rice,1
Loamy,Maharashtra,Manchar,Zaid,33.3,56.3,54.5,Low,8.0,sugarcane,rice,0
Black,Gujarat,Pune,Kharif,29.0,1080.8,73.4,High,13.1,mustard,mustard,0
Sandy,Maharashtra,Jaipur,Zaid,38.0,124.5,47.3,Medium,3.8,soybean,mustard,0
Red,Karnataka,Pune,Rabi,17.0,237.0,64.0,High,7.0,soybean,sugarcane,0
Alluvial,Gujarat,Pune,Kharif,26.4,1304.5,69.6,Low,9.0,sugarcane,sugarcane,0
Sandy,Rajasthan,Karnal,Zaid,37.8,51.5,40.6,High,8.0,mustard,cotton,0
Black,Gujarat,Lucknow,Zaid,37.7,112.1,42.7,Low,4.0,potato,rose,0
Clayey,Gujarat,Kolar,Rabi,17.5,372.6,59.3,High,8.8,wheat,rose,1
Clayey,Rajasthan,Nilokheri,Zaid,39.5,85.2,31.5,High,8.7,tomato,maize,1
Sandy,Madhya Pradesh,Kolar,Zaid,37.2,147.4,36.9,Low,8.1,sugarcane,wheat,0
Black,Rajasthan,Rajkot,Zaid,33.8,67.5,44.8,Low,19.1,rose,cotton,0
Sandy,Rajasthan,Ludhiana,Rabi,21.1,238.8,60.5,Low,11.8,cotton,maize,0
Loamy,Maharashtra,Kolar,Rabi,21.0,314.3,30.9,Medium,8.1,maize,mustard,1
Loamy,Gujarat,Manchar,Rabi,14.1,474.6,68.8,Medium,10.2,rose,tomato,1
Alluvial,Tamil Nadu,Jaipur,Zaid,38.2,46.8,63.0,Low,0.6,rice,potato,0
Clayey,Uttar Pradesh,Coimbatore,Zaid,37.3,25.0,42.5,Medium,7.7,wheat,soybean,0
Sandy,Tamil Nadu,Manchar,Kharif,32.2,903.3,79.3,Medium,7.1,maize,soybean,1
Sandy,Tamil Nadu,Jaipur,Zaid,36.0,74.3,25.7,High,2.6,wheat,cotton,0
Red,Haryana,Pune,Rabi,20.0,351.3,44.4,Low,6.4,banana,potato,1
Clayey,Rajasthan,Ludhiana,Kharif,28.4,883.5,81.5,Low,9.1,mustard,cotton,0
Red,Uttar Pradesh,Kolar,Zaid,34.5,96.2,39.4,Low,3.4,rose,maize,0
Clayey,Uttar Pradesh,Ludhiana,Rabi,14.2,247.3,62.5,Medium,8.7,tomato,rose,1
Sandy,Gujarat,Ludhiana,Kharif,31.0,1252.0,80.3,High,8.4,none,tomato,1
Black,Andhra Pradesh,Rampur,Kharif,24.0,1582.0,71.3,Low,8.0,rice,wheat,0
Red,Rajasthan,Karnal,Rabi,20.9,244.2,56.5,High,6.2,soybean,wheat,1
Clayey,Madhya Pradesh,Manchar,Kharif,37.4,966.3,81.3,Medium,1.4,soybean,rice,1
Loamy,Punjab,Karnal,Rabi,23.9,324.4,58.4,High,11.4,wheat,sugarcane,0
Black,Karnataka,Coimbatore,Rabi,16.6,189.6,66.7,High,4.0,cotton,rose,1
Clayey,Maharashtra,Rampur,Rabi,21.5,301.9,58.4,High,9.6,potato,mustard,1
Clayey,Andhra Pradesh,Kolar,Rabi,19.9,191.5,44.4,Low,6.7,banana,rose,0
Sandy,Rajasthan,Kolar,Zaid,34.3,127.5,49.3,Medium,13.4,banana,banana,0
Sandy,Punjab,Kolar,Rabi,17.0,294.6,62.9,Low,10.5,wheat,rose,0
Red,Haryana,Jaipur,Kharif,27.4,1331.6,89.1,Medium,11.8,soybean,potato,0
Sandy,Haryana,Rampur,Kharif,33.6,843.2,82.7,Low,7.4,potato,cotton,0
Black,Karnataka,Pune,Kharif,25.0,1057.7,82.1,Medium,7.8,rose,soybean,1
Red,Maharashtra,Karnal,Rabi,21.6,224.8,55.4,Low,8.1,potato,rice,0
Red,Maharashtra,Karnal,Rabi,12.5,1.4,57.3,Medium,5.7,sugarcane,maize,1
Sandy,Maharashtra,Ludhiana,Kharif,32.6,951.3,82.2,High,8.2,rose,cotton,1
Clayey,Andhra Pradesh,Lucknow,Rabi,14.8,543.0,60.0,High,15.4,tomato,soybean,0
Red,Maharashtra,Lucknow,Kharif,30.2,855.1,80.8,High,4.8,none,potato,0
Black,Maharashtra,Karnal,Kharif,31.1,1326.0,77.4,Low,14.3,maize,maize,1
Loamy,Maharashtra,Manchar,Kharif,31.0,679.8,80.5,Medium,11.0,wheat,maize,1
Alluvial,Andhra Pradesh,Lucknow,Kharif,26.6,1339.9,77.9,High,12.1,none,rice,1
Alluvial,Karnataka,Nilokheri,Kharif,28.6,925.2,78.0,Medium,3.2,sugarcane,banana,1
Red,Punjab,Ludhiana,Rabi,16.1,318.3,43.9,Medium,9.6,banana,maize,1
Loamy,Gujarat,Pune,Rabi,19.7,130.5,50.5,Medium,8.2,mustard,tomato,1
Red,Haryana,Karnal,Kharif,30.2,1027.6,79.3,Medium,14.8,none,wheat,0
Red,Karnataka,Jaipur,Kharif,31.3,1417.2,89.9,High,14.8,wheat,banana,1
Red,Tamil Nadu,Pune,Rabi,14.8,206.8,65.9,Medium,1.3,soybean,mustard,1
Clayey,Gujarat,Lucknow,Kharif,34.5,836.2,78.5,High,6.3,rice,cotton,1
Black,Andhra Pradesh,Karnal,Zaid,34.4,71.1,38.1,Low,14.9,wheat,soybean,0
Black,Punjab,Karnal,Rabi,16.0,334.9,76.6,Low,9.6,maize,soybean,0
